code,name,gender,country_code,events,birth_date,coach
1569009,ESTEVES Mariana,F,GUI,['Women -57 kg'],2/4/1996,Club: Nuno Antonio (POR).<br>National: Paul Delormas (FRA)
1569080,KISS Agnes Anna,F,HUN,"[""Women's Canoe Single 200m"" ""Women's Canoe Double 500m""]",22/5/2005,Personal: Gabor Furdok (HUN)
1569169,SODERQVIST Jakob,M,SWE,"[""Men's Road Race""]",31/5/2003,
1569170,ANDERSSON Caroline,F,SWE,"[""Women's Road Race""]",29/7/2001,
1569182,DIALLO Demba,M,MLI,['Men'],13/10/2000,National: Badra Alou Diallo (MLI)
1569198,LINDFORS Caisa-Marie,F,SWE,"[""Women's Discus Throw""]",5/8/2000,Personal: Mohammed Saatara (USA)
1569201,WIKSTROM Carolina,F,SWE,"[""Women's Marathon""]",4/9/1993,Personal: Christian Ahlsen (SWE) her partner
1569203,DUPLANTIS Armand,M,SWE,"[""Men's Pole Vault""]",10/11/1999,Personal: Greg Duplantis (USA) Helena Duplantis (SWE) his father and mother
1569205,JOHANSSON Axelina,F,SWE,"[""Women's Shot Put""]",20/4/2000,Personal: Justin St. Clair (USA)
1569208,BENGTSTROM Carl,M,SWE,"[""Men's 400m Hurdles""]",13/1/2000,Personal: Erik Olsson (SWE)
1569210,STAHL Daniel,M,SWE,"[""Men's Discus Throw""]",27/8/1992,Personal: Staffan Jï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿
1569225,ROOS Fanny,F,SWE,"[""Women's Shot Put""]",2/1/1995,Personal: Staffan Jonsson (SWE) from 2023
1569233,LARSSON Henrik,M,SWE,"[""Men's 100m""]",30/9/1999,Personal: Maria and Roger Larsson (SWE) his parents
1569259,KRAMER Andreas,M,SWE,"[""Men's 800m""]",13/4/1997,Personal: Per Skoog (SWE)
1569266,HENRIKSSON Julia,F,SWE,"[""Women's 100m"" ""Women's 200m""]",11/7/2000,Personal: Karin Olsson (SWE)
1569270,ALMGREN Andreas,M,SWE,"[""Men's 5000m""]",12/6/1995,Personal: Urban Aruhn (SWE)
1569288,ASKAG Maja,F,SWE,"[""Women's Triple Jump""]",18/12/2002,Robert Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿
1569315,DOUCOURE Fode,M,MLI,['Men'],3/2/2001,National: Badra Alou Diallo (MLI)
1569318,LINDAHL Nora,F,SWE,"[""Women's 200m""]",10/9/2004,Personal: Frida Lindahl (SWE) her mother
1569320,EDLUND Oskar,M,SWE,"[""Men's 400m Hurdles""]",16/11/2002,Personal: Anders Perswalld (SWE)
1569323,KARLSTROM Perseus,M,SWE,"[""Men's 20km Race Walk""]",2/5/1990,Personal: Robert Heffernan (IRL) from 2021
1569324,CARLSSON Ragnar,M,SWE,"[""Men's Hammer Throw""]",16/11/2000,Personal: Mattias Jons (SWE)
1569325,PIHLSTROM Samuel,M,SWE,"[""Men's 1500m""]",8/3/2001,Personal: Ulf Friberg (SWE)
1569335,HASSAN Suldan,M,SWE,"[""Men's Marathon""]",1/4/1998,Personal: Gary Lough (GBR)
1569336,LOFMAN Thea,F,SWE,"[""Women's Hammer Throw""]",8/9/2003,Personal: Stellan Kjellander (SWE)
1569337,MONTLER Thobias,M,SWE,"[""Men's Long Jump""]",15/2/1996,Personal: Yannick Tregaro (SWE)
1569340,KAMGA Vanessa,F,SWE,"[""Women's Discus Throw""]",19/11/1998,Personal: Mats Olsson (SWE) Mattias Jons (SWE)
1569347,ERLANDSSON Erik,M,SWE,"[""Men's 200m""]",22/5/2004,Personal: Mikael Wennolf Frida Lindahl (SWE)
1569362,GUTIERREZ Israel,M,ESA,['10m Air Rifle Men' '50m Rifle 3 Positions Men'],19/3/1992,National: Veronica Rivas (ESA)
1569377,TJON EN FA Jair,M,SUR,"[""Men's Keirin"" ""Men's Sprint""]",19/10/1993,Craig MacLean (GBR)
1569444,MEDINA ROCA Ayamey Damiana,F,CUB,"[""Women's 81kg""]",21/2/1998,Personal: Alieska Leon Pountriel (CUB)
1569563,KUO Hsing-Chun,F,TPE,"[""Women's 59kg""]",26/11/1993,National: Lin Ching-Neng (TPE)
1569570,CHEN Wen-Huei,F,TPE,"[""Women's 71kg""]",23/2/1997,Club: Huang Dade (TPE) Ho Hsiao-Chun (TPE)
1569571,GAN Ching Hwee,F,SGP,"[""Women's 1500m Freestyle"" ""Women's 4 x 100m Medley Relay"" ""Women's 800m Freestyle""]",22/7/2003,Club: Ray Looze (USA)
1569762,FANG Wan-Ling,F,TPE,"[""Women's 49kg""]",1/12/1999,National: Lin Ching-neng.</p><p>Club: Chen Wei-ling Chen Shu-chih (TPE)
1569819,YILDIRIM Enver,M,TUR,"[""Men's Sabre Individual""]",18/10/1995,Christian Bauer (FRA)
1569820,ERBIL Nisanur,F,TUR,"[""Women's Sabre Individual""]",22/4/2003,Personal: Hakan Yildirim (TUR)
1569829,OPEYORI Anuoluwapo Juwon,M,NGR,"[""Men's Singles""]",1/6/1997,
1569832,TSIKHANTSOU Yauheni,M,AIN,"[""Men's 102kg""]",4/11/1998,Personal: Mikhail Rabikovsky (BLR) Valery Sizianok (BLR)
1569845,YANG Kun-Pi,M,TPE,['Trap Men'],11/8/1998,National: Chang Chien Ming Shan (TPE).<br>Personal: Xiao Zhengwen
1569850,LIN Yi Chun,F,TPE,['Trap Women'],5/7/1981,National/Personal: Tsai Jyh Cherng - her husband
1569852,LEE Meng Yuan,M,TPE,['Skeet Men'],25/8/1994,Personal: Hsieh Chih Pei (TPE) - his father
1569854,TIEN Chia Chen,F,TPE,['25m Pistol Women'],20/12/1983,Personal: Tien Chao-Chih (TPE) - her father
1569857,LIU Heng Yu,F,TPE,['10m Air Pistol Women'],28/3/2003,National: Guo Mengxi.<br>Club: Chen Qiuyan
1569858,WU Chia Ying,F,TPE,['25m Pistol Women'],25/10/1992,National: Guo Mengxi
1569861,LIU Wan-Yu,F,TPE,['Trap Women'],16/7/1995,Personal: Zhang Yi Xin (TPE)
1569862,YU Ai Wen,F,TPE,['10m Air Pistol Women'],27/12/1995,Personal: Guo Xizhong Chen Wenling
1569925,DURKACZ Damian,M,POL,"[""Men's 71kg""]",30/1/1999,Club: Ireneusz Przywara (POL). <br>National: Valeriy Kornilov (BLR)
1569941,TAN Pearly,F,MAS,"[""Women's Doubles""]",14/3/2000,Lee Meng Yean (MAS)
1569960,YILDIZ Salih,M,TUR,['Men -60 kg' 'Mixed Team'],1/1/2001,Haldun Efemgil (TUR)
1569961,SOH Wooi Yik,M,MAS,"[""Men's Doubles""]",17/2/1998,National: Rexy Mainaky (INA) Tan Bin Shen (MAS)
1569965,DEMIREL Muhammed,M,TUR,['Men -66 kg' 'Mixed Team'],8/11/2002,National: Irakli Uznadze an Bektas Demiral (father)
1569972,KOPASZ Balint,M,HUN,"[""Men's Kayak Single 1000m"" ""Men's Kayak Double 500m""]",20/6/1997,Personal: Irene Demeter (HUN) his mother
1569984,ALBAYRAK Vedat,M,TUR,['Men -81 kg' 'Mixed Team'],4/6/1993,National: Irakli Uznadze TUR
1569986,STOJKOVIC Lena,F,CRO,['Women -49kg'],3/1/2002,National: Veljko Laura (CRO)
1569990,SAPINA Ivan,M,CRO,['Men +80kg'],17/11/1999,Club: Dejan Mesarov (CRO)
1570001,ZGANK Mihael,M,TUR,['Men -90 kg' 'Mixed Team'],1/2/1994,Irakli Uznadze (TUR)
1570012,TATAROGLU Ibrahim,M,TUR,['Men +100 kg' 'Mixed Team'],1/1/2006,Personal: Bektas Demirel (TUR).</p><p>National: Irakli Uznadze (TUR)
1570013,BEDER Tugce,F,TUR,['Women -48 kg' 'Mixed Team'],15/11/1999,
1570022,KULI Istvan,M,HUN,"[""Men's Kayak Four 500m""]",22/6/1998,Personal: Viktor Hï¿½ï¿½ï¿½ï¿½
1570024,OGEL Fidan,F,TUR,['Women -70 kg' 'Mixed Team'],17/1/2002,Ercan Cakï¿½ï¿½ï¿½ï¿½ï¿
1570034,OZDEMIR Kayra,F,TUR,['Women +78 kg' 'Mixed Team'],13/2/1988,Club: Ercan Cakiroglu (TUR).<br>National: Irakli Uznadze (TUR)
1570042,CARABANA Nahuel,M,AND,"[""Men's 3000m Steeplechase""]",10/11/1999,Personal: Kevin Poulet (AND)
1570051,TAI Tzu Ying,F,TPE,"[""Women's Singles""]",20/6/1994,
1570054,CHOU Tien Chen,M,TPE,"[""Men's Singles""]",8/1/1990,
1570105,WANG Chi-Lin,M,TPE,"[""Men's Doubles""]",18/1/1995,
1570107,LEE Yang,M,TPE,"[""Men's Doubles""]",12/8/1995,
1570111,DERKACH Dariya,F,ITA,"[""Women's Triple Jump""]",27/3/1993,Personal: Alessandro Nocera (ITA)
1570118,BOUIH Yassin,M,ITA,"[""Men's 3000m Steeplechase""]",24/11/1996,Personal: Vehid Gutic (ALB)
1570124,RIVA Federico,M,ITA,"[""Men's 1500m""]",9/11/2000,Personal: Vittorio Di Saverio (ITA)
1570155,YE Hong Wei,M,TPE,['Mixed Doubles'],1/11/1999,
1570195,ORSONI Riccardo,M,ITA,"[""Men's 20km Race Walk""]",20/1/2000,Personal: Alessandro Gandellini (ITA)
1570290,ALTINKAYA Sibel,F,TUR,"[""Women's Singles""]",1/2/1993,Personal: Ufuk Altinkaya her husband
1570332,DEMIRHAN YAVUZ Evin,F,TUR,"[""Women's Freestyle 50kg""]",2/7/1995,
1570364,YETGIL Zeyne,F,TUR,"[""Women's Freestyle 53kg""]",10/10/2000,
1570415,CAVUSOGLU TOSUN Buse,F,TUR,"[""Women's Freestyle 68kg""]",5/12/1995,Club: Senay Karaman (TUR)
1570417,BAS Nesrin,F,TUR,"[""Women's Freestyle 62kg""]",25/6/2002,
1570422,ADAR YIGIT Yasemin,F,TUR,"[""Women's Freestyle 76kg""]",6/12/1991,National: Efraim Kahraman (TUR)
1570441,NADAS Bence,M,HUN,"[""Men's Kayak Double 500m"" ""Men's Kayak Four 500m""]",17/4/1996,Personal: Viktor Huvos (HUN)
1570443,NAGY Bianka,F,HUN,"[""Women's Canoe Double 500m""]",28/6/2000,
1570532,KAGIMU Charles,M,UGA,"[""Men's Road Race""]",15/9/1998,
1570537,CIFTCI Ibrahim,M,TUR,"[""Men's Freestyle 97kg""]",1/12/1997,
1570546,AKGUL Taha,M,TUR,"[""Men's Freestyle 125kg""]",22/11/1990,National: Abdullah Cakmar (TUR)
1570550,DIALLO Hamidou,M,MLI,['Men'],26/1/2002,National: Badra Alou Diallo (MLI)
1570556,PUPP Noemi,F,HUN,"[""Women's Kayak Double 500m"" ""Women's Kayak Four 500m""]",28/7/1998,Personal: Ferenc Csipes (HUN)
1570561,MAKHMADBEKOV Somon,M,TJK,['Men -81 kg'],24/3/1999,National: Fotekh Makhmadbekov (TJK) - his uncle
1570568,NOBLE Kathleen,F,UGA,"[""Women's Single Sculls""]",20/12/1994,
1570574,BEREZNICKI Mateusz,M,POL,"[""Men's 92kg""]",10/3/2001,
1570581,CISSE Ibrahima,M,MLI,['Men'],15/2/2001,National: Badra Alou Diallo (MLI)
1570583,SISSOKHO Issouf,M,MLI,['Men'],30/1/2002,Club: Albert Riera (ESP).<br>National: Badra Alou Diallo (MLI)
1570596,QUERINJEAN Ruben,M,LUX,"[""Men's 3000m Steeplechase""]",22/12/2001,Personal: Thomas Vandormael (BEL)
1570601,HOFFMANN Vera,F,LUX,"[""Women's 1500m""]",2/11/1996,Personal: Bob Bertemes (LUX) her partner since 2022
1570604,KLEIN Pit,M,LUX,"[""Men's Individual""]",12/9/1996,National: Filippo Clini (LUX)
1570605,DALEIDEN CIUFERRI Ralph,M,LUX,"[""Men's 100m Freestyle""]",25/3/2003,
1570614,MLADENOVIC Luka,M,LUX,"[""Men's Singles""]",26/12/1998,
1570615,de NUTTE Sarah,F,LUX,"[""Women's Singles""]",21/11/1992,
1570619,WAGNER EHLINGER Nicolas,M,LUX,['Dressage Individual'],2/1/1992,
1570623,NI Xia Lian,F,LUX,"[""Women's Singles""]",4/7/1963,
1570842,TAKACS Kincso,F,HUN,"[""Women's Canoe Single 200m""]",17/9/1993,
1570845,TOTKA Sandor,M,HUN,"[""Men's Kayak Double 500m"" ""Men's Kayak Four 500m""]",27/7/1994,Personal: Viktor Huvos (HUN)
1570863,VARGA Adam,M,HUN,"[""Men's Kayak Single 1000m"" ""Men's Kayak Double 500m""]",20/11/1999,Personal: Zsolt Matyus (HUN)
1571078,GUAPO Laetitia,F,FRA,['Women'],25/10/1995,National: Yann Julien (FRA).<br>Club: Olivier Lafargue (FRA)
1571080,LIMOUZIN Hortense,F,FRA,['Women'],1/7/1998,National: Yann Julien (FRA).<br>Club: Fabrice Fernandes (FRA)
1571082,PAGET Marie Eve,F,FRA,['Women'],28/11/1994,National: Yann Julien (FRA).<br>Club: Julie Barennes (FRA)
1571084,DJEKOUNDADE Myriam,F,FRA,['Women'],2/1/1998,National: Yann Julien (FRA).<br>Club: Rachid Meziane (FRA)
1571345,CANJURA ARTIGA Uriel Francisco,M,ESA,"[""Men's Singles""]",12/9/2000,
1571355,HERNANDEZ Nixon,M,ESA,"[""Men's 100m Freestyle""]",8/10/1997,
1571367,MARQUEZ Celina,F,ESA,"[""Women's 100m Backstroke""]",16/7/1999,Club: Gianluca Alberani
1571377,IGLESIAS Mauro,M,ARG,"[""Men's Street""]",15/8/2000,
1571398,PEREZ Bryan,M,ESA,['Men'],10/9/1999,
1571415,ANYANACHO Elizabeth Oluchi,F,NGR,['Women -67kg'],9/4/1999,National: Chika Chukwumerije (NGR)
1571426,ARATHOON PACAS Enrique Jose,M,ESA,"[""Men's Dinghy""]",18/1/1992,Javier Hernandez Cebrian (ESP)
1571488,FIRISUA Sharon,F,SOL,"[""Women's 100m""]",15/12/1993,
1571490,LETTSOME Thad,M,IVB,"[""Men's Dinghy""]",17/1/2002,Chris Watters (CAN)
1571496,de ARMAS RODRIGUEZ Kevin Yuran,M,CUB,"[""Men's Greco-Roman 60kg""]",19/1/1998,
1571498,ORTA SANCHEZ Luis Alberto,M,CUB,"[""Men's Greco-Roman 67kg""]",22/8/1994,National: Raul Trujillo (CUB) since 2015
1571500,PENA FLORES Yosvanys,M,CUB,"[""Men's Greco-Roman 77kg""]",24/12/1993,
1571504,ROSILLO KINDELAN Gabriel Alejandro,M,CUB,"[""Men's Greco-Roman 97kg""]",4/1/1999,National: Raul Trujillo (CUB)
1571506,LOPEZ NUNEZ Mijain,M,CUB,"[""Men's Greco-Roman 130kg""]",20/8/1982,
1571517,LAVSKYY Vladyslav,M,UKR,"[""Men's High Jump""]",16/3/2000,Personal: Valery Lebedyuk (UKR)
1571520,OLYANOVSKA Lyudmila,F,UKR,"[""Women's 20km Race Walk"" 'Marathon Race Walk Relay Mixed']",20/2/1993,Personal: Anatoliy Solomin (UKR)
1571522,KORSUN Olha,F,UKR,"[""Women's Triple Jump""]",11/11/1996,Personal: Yurii Shcherbak (UKR)
1571523,SOBCHUK Olena,F,UKR,"[""Women's 20km Race Walk""]",23/11/1995,Personal: Mykola Kalytka Ievhenii Mazur Roman Kuzmiuk (UKR)
1571529,MELNYK Tetyana,F,UKR,['4 x 400m Relay Mixed'],2/4/1995,Personal: Volodymyr Fedorets (UKR)
1571537,SVITLYCHNYI Serhii,M,UKR,['Marathon Race Walk Relay Mixed'],13/7/1994,
1571544,BEKH-ROMANCHUK Maryna,F,UKR,"[""Women's Triple Jump""]",18/7/1995,Personal: Vadym Krushynsky (UKR) since 2006
1571545,LEVCHENKO Yuliia,F,UKR,"[""Women's High Jump""]",28/11/1997,Personal: Iryna Pustovoit (UKR) since 2011
1571547,RYZHYKOVA Anna,F,UKR,"[""Women's 400m Hurdles""]",24/11/1989,Personal: Volodymyr Kravchenko (UKR) since 2004. Vasyl Yaroshchuk (UKR) her father
1571548,SHOSTAK Maryana,F,UKR,['4 x 400m Relay Mixed'],24/10/2000,
1571549,KLYMETS Iryna,F,UKR,"[""Women's Hammer Throw""]",4/10/1994,Personal: Roman Cherkashyn (UKR)
1571552,KOKOSHKO Roman,M,UKR,"[""Men's Shot Put""]",16/8/1996,Personal: Vladimir Zinchenko (UKR)
1571554,FELFNER Artur,M,UKR,"[""Men's Javelin Throw""]",17/10/2003,Personal: Viacheslav Rymko (UKR)
1571559,MAHUCHIKH Yaroslava,F,UKR,"[""Women's High Jump""]",19/9/2001,Personal: Tetyana Stepanova (UKR) since 2014
1571561,SHEVCHUK Hanna,F,UKR,['Marathon Race Walk Relay Mixed'],18/7/1996,Personal: Mykola Shevchuk (UKR)
1571562,POHORILKO Oleksandr,M,UKR,"[""Men's 400m"" '4 x 400m Relay Mixed']",16/4/2000,Personal: Oleg Bilodid (UKR) Svitlana Korzh (UKR)
1571563,KOKHAN Mykhaylo,M,UKR,"[""Men's Hammer Throw""]",22/1/2001,Personal: Sergiy Kokhan (UKR) his father
1571564,SAKHARUK Mariia,F,UKR,"[""Women's 20km Race Walk""]",14/10/1995,Personal: Valentyna Borysyuk (UKR)
1571570,DOROSHCHUK Oleh,M,UKR,"[""Men's High Jump""]",4/7/2001,Personal: Hennadii Zditovetskyi (UKR)
1571574,BANZERUK Ivan,M,UKR,['Marathon Race Walk Relay Mixed'],9/2/1990,Personal: Volodymyr Yalovyk (UKR)
1571576,HLAVAN Ihor,M,UKR,"[""Men's 20km Race Walk""]",25/9/1990,
1571577,GERASHCHENKO Iryna,F,UKR,"[""Women's High Jump""]",10/3/1995,Personal: Tetyana Stepanova (UKR)
1571586,DANYLENKO Danylo,M,UKR,['4 x 400m Relay Mixed'],10/10/1994,
1571587,TKACHUK Viktoriya,F,UKR,"[""Women's 400m Hurdles""]",8/11/1994,Personal: Massimo Matrone (ITA)
1571590,PROTSENKO Andrii,M,UKR,"[""Men's High Jump""]",20/5/1988,Personal: Gennady Zuev (UKR) since 2001
1571641,MILLER Alex,M,NAM,"[""Men's Cross-country""]",20/11/2000,
1571692,BELOMOINA Yana,F,UKR,"[""Women's Cross-country""]",2/11/1992,Personal: Victor Kovalyov (UKR) Maksym Gavrylenko (UKR) - her husband
1571693,HUDYMA Oleksandr,M,UKR,"[""Men's Cross-country""]",11/2/2003,
1571747,GUZMAN LOPEZ Yusneylis,F,CUB,"[""Women's Freestyle 50kg""]",8/8/1996,National: Filiberto Delgado (CUB)
1571753,MARCHENKO Veronika,F,UKR,"[""Women's Individual"" 'Mixed Team']",3/4/1993,Personal: Maria Gavelko (UKR)
1571766,USACH Mykhailo,M,UKR,"[""Men's Individual"" 'Mixed Team']",20/11/1996,
1571782,US Viktoriia,F,UKR,"[""Women's Canoe Single"" ""Women's Kayak Single"" ""Women's Kayak Cross""]",29/4/1993,Volodymyr Us (UKR) her father
1571815,AFRIFAH Blessing Akwasi,M,ISR,"[""Men's 200m""]",26/10/2003,Personal: Yigal Balon (ISR)
1571854,AMARE Girmaw,M,ISR,"[""Men's Marathon""]",26/10/1987,
1571859,ALAME Haimro,M,ISR,"[""Men's Marathon""]",8/6/1990,Personal: Yosep Gazchau (ISR)
1571871,YOHUANG Phurit,M,THA,"[""Men's Individual""]",22/3/2003,"National: Bernhard ""Pedro"" Petruschinski (GER)"
1571909,NYMAN Marcus,M,SWE,['Men -90 kg'],14/8/1990,Personal: Viktor Carlsson (SWE).<br>National: Sally Conway (GBR)
1571911,BABULFATH Tara,F,SWE,['Women -48 kg'],3/1/2006,Personal: Ann Lof (SWE).<br>Club: Ulf Lindblom (SWE).<br>National: Jane Bridge (GBR) - 1980 world champion in -48kg class
1571929,BIRIUKOVA Yuliia,F,UKR,"[""Women's Road Race"" ""Women's Individual Time Trial""]",24/1/1998,
1571933,BUDIAK Anatolii,M,UKR,"[""Men's Road Race""]",29/9/1995,
1571936,MARIN POTRILLE Milaimy de la Carid,F,CUB,"[""Women's Freestyle 76kg""]",16/3/2001,
1571964,ZANGO Hugues Fabrice,M,BUR,"[""Men's Triple Jump""]",25/6/1993,Personal: Teddy Tamgho (FRA) 2013 triple jump world champion
1571966,BAMOGO Awa,F,BUR,"[""Women's Road Race""]",15/6/1999,
1572016,MYKHAILOV Vasyl,M,UKR,"[""Men's Freestyle 86kg""]",24/6/1995,Personal: Andriy Panaitov
1572022,KHOTSIANIVSKYI Oleksandr,M,UKR,"[""Men's Freestyle 125kg""]",20/7/1990,Personal: Grigory Danko (UKR)
1572025,McHEDLIDZE Murazi,M,UKR,"[""Men's Freestyle 97kg""]",21/6/1994,
1572042,KOALA Marthe,F,BUR,"[""Women's Long Jump""]",8/3/1994,Personal: Franck Matamba (GAB/FRA)
1572050,VALDES TOBIER Alejandro Enrique,M,CUB,"[""Men's Freestyle 65kg""]",18/11/1988,
1572079,GARZON CABALLERO Geandry,M,CUB,"[""Men's Freestyle 74kg""]",5/11/1983,
1572093,LOUIS Marc Brian,M,SGP,"[""Men's 100m""]",7/8/2002,Personal: Benber Yu (PHI)
1572094,LEE Chia Hsin,F,TPE,['Mixed Doubles'],11/5/1997,
1572140,AKBUDAK Burhan,M,TUR,"[""Men's Greco-Roman 77kg""]",1/6/1995,
1572143,CENGIZ Ali,M,TUR,"[""Men's Greco-Roman 87kg""]",8/4/1996,
1572158,BAKIR Muhammet Hamza,M,TUR,"[""Men's Greco-Roman 130kg""]",20/1/2001,
1572171,ROUGIER-LAGANE Christopher,M,MRI,"[""Men's Road Race""]",24/9/1998,
1572177,AN Byeong Hun,M,KOR,"[""Men's Individual Stroke Play""]",17/9/1991,
1572180,KIM Hyo Joo,F,KOR,"[""Women's Individual Stroke Play""]",14/7/1995,
1572181,KIM Tom,M,KOR,"[""Men's Individual Stroke Play""]",21/6/2002,
1572185,KO Jin Young,F,KOR,"[""Women's Individual Stroke Play""]",7/7/1995,
1572189,URSU Vladislav,M,MDA,"[""Men's Singles""]",1/3/2001,
1572198,BASAR Enes,M,TUR,"[""Men's Greco-Roman 60kg""]",30/4/1993,
1572203,NICHITA Anastasia,F,MDA,"[""Women's Freestyle 57kg""]",19/2/1999,Personal: Tudor Cirlan (MDA)
1572207,RINGACI Irina,F,MDA,"[""Women's Freestyle 68kg""]",23/8/2001,Personal: Andrei Chiperi (MDA)
1572218,DRAGUTAN Mariana,F,MDA,"[""Women's Freestyle 53kg""]",29/11/2000,
1572245,OHRSTROM Isak,M,SWE,"[""Men's Kayak Single"" ""Men's Kayak Cross""]",26/11/1990,
1572266,JOZSA Levente Mark,M,HUN,['Men -68kg'],4/10/2002,
1572318,MARTON Viviana,F,HUN,['Women -67kg'],16/2/2006,Jesus Ramal
1572368,SALIM Omar Gergely,M,HUN,['Men -58kg'],12/4/2003,Personal: Gergely Salim (DEN/HUN) - father
1572369,PETRASHOV Denis,M,KGZ,"[""Men's 100m Breaststroke"" ""Men's 200m Breaststroke""]",1/2/2000,Club: Arthur Albiero (BRA)
1572372,TEFERI Maru,M,ISR,"[""Men's Marathon""]",17/8/1992,Personal: Dan Salpeter
1572435,SCHOBER Sarah,F,AUT,"[""Women's Individual Stroke Play""]",15/4/1992,
1572437,SPITZ Emma,F,AUT,"[""Women's Individual Stroke Play""]",10/4/2000,
1572442,GREENE Darragh,M,IRL,"[""Men's 4 x 100m Medley Relay"" 'Relay Only Athlete']",20/10/1995,Club: Steven Beckerleg
1572444,O DONOVAN Paul,M,IRL,"[""Lightweight Men's Double Sculls""]",19/4/1994,National: Dominic Casey (IRL) Fran Keane (IRL)
1572450,SWEETNAM Shane,M,IRL,['Jumping Individual' 'Jumping Team'],19/1/1981,
1572451,KENNY Darragh,M,IRL,['Jumping Individual'],24/1/1988,
1572455,CROSS Timothy,M,IRL,['Men'],26/1/1991,National: Mark Tumilty (IRL).<br>Club: Gareth Kidd (IRL)
1572457,COLE Lee,M,IRL,['Men'],21/2/1995,National: Mark Tumilty (IRL)
1572458,PAGE Nicholas,M,IRL,['Men'],28/5/1997,Coach: Nick Giles (GBR)<br>National: Mark Tumilty (IRL)
1572512,SALEEM Ziyad,M,SUD,"[""Men's 200m Backstroke""]",24/3/2003,
1572527,NILSSON GARIP Emilia,F,SWE,"[""Women's 3m Springboard""]",21/4/2003,
1572544,COLEMAN Michelle,F,SWE,"[""Women's 100m Freestyle"" ""Women's 4 x 100m Freestyle Relay"" ""Women's 50m Freestyle""]",31/10/1993,Antonio Lutula (SWE)
1572545,ELIASSON Isak,M,SWE,"[""Men's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",22/1/1996,
1572546,PERSSON Elias,M,SWE,"[""Men's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",3/4/2002,Club: Magnus Lennartsson
1572547,HANSON Robin,M,SWE,"[""Men's 4 x 100m Freestyle Relay"" 'Relay Only Athlete' 'Mixed 4 x 100m Medley Relay']",2/4/2001,Club: Dave Durden (USA) at University of California (USA)
1572548,HANSSON Sophie,F,SWE,"[""Women's 100m Breaststroke"" ""Women's 200m Breaststroke"" ""Women's 4 x 100m Medley Relay""]",2/8/1998,Club: Ian Hulme (GBR) Loughborough. <br>Club: Sverker Maltesjo (SWE) Helsingborgs
1572549,HANSSON Louise,F,SWE,"[""Women's 100m Backstroke"" ""Women's 100m Butterfly"" ""Women's 4 x 100m Freestyle Relay"" ""Women's 4 x 100m Medley Relay""]",24/11/1996,Club: Ian Hulme (GBR)
1572551,JOHANSSON Victor,M,SWE,"[""Men's 10km"" ""Men's 1500m Freestyle"" ""Men's 400m Freestyle"" ""Men's 800m Freestyle""]",13/9/1998,Club: Niko Martikainen (SWE)
1572552,JUNEVIK Sara,F,SWE,"[""Women's 4 x 100m Freestyle Relay"" 'Relay Only Athlete' 'Mixed 4 x 100m Medley Relay']",14/2/2000,Personal: Antonio Lutula
1572555,PERSSON Erik,M,SWE,"[""Men's 200m Breaststroke"" 'Mixed 4 x 100m Medley Relay']",12/1/1994,Club: Karl-Johan Gardstrom (SWE)
1572556,SEELIGER Bjoern,M,SWE,"[""Men's 100m Freestyle"" ""Men's 4 x 100m Freestyle Relay"" ""Men's 50m Freestyle""]",11/1/2000,Club: David Durden (USA)
1572557,SJOESTROEM Sarah,F,SWE,"[""Women's 100m Freestyle"" ""Women's 4 x 100m Freestyle Relay"" ""Women's 4 x 100m Medley Relay"" ""Women's 50m Freestyle""]",17/8/1993,Club: Antonio Lutula (SWE)
1572558,AASTEDT Sofia,F,SWE,"[""Women's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",13/11/2003,
1572559,ROSVALL Hanna,F,SWE,"[""Women's 4 x 100m Medley Relay"" 'Relay Only Athlete' 'Mixed 4 x 100m Medley Relay']",10/2/2000,Club: Kaj-Arild Paulsen
1572560,SAADELDIN Rana,F,SUD,"[""Women's 100m Freestyle""]",4/8/2008,
1572578,WINBERG Hampus,M,SWE,"[""Men's Park""]",22/6/2006,
1572603,STRAKA Se,M,AUT,"[""Men's Individual Stroke Play""]",1/5/1993,
1572616,CAZAUTE Helena,F,FRA,['Women'],17/12/1997,National: Emile Rousseaux (BEL)
1572617,BAUER Christina,F,FRA,['Women'],1/1/1988,National: Emile Rousseaux (BEL)
1572618,SYLVES Amandha,F,FRA,['Women'],29/12/2000,National: Emile Rousseaux (BEL)
1572619,GELIN Juliette,F,FRA,['Women'],2/11/2001,National: ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï
1572620,ROTAR Amelie,F,FRA,['Women'],24/10/2000,National: Emile Rousseaux (BEL)
1572621,GIARDINO Amandine,F,FRA,['Women'],30/3/1995,Club: Cesar Hernandez (ESP).</p><p>National: Emile Rousseaux (BEL)
1572622,OLINGA ANDELA Leandra,F,FRA,['Women'],12/8/1997,National: ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï
1572623,RESPAUT Emilie,F,FRA,['Women'],25/4/2003,National: Emile Rousseaux (BEL)
1572625,STOJILJKOVIC Nina,F,FRA,['Women'],1/9/1996,National: Emile Rousseaux (BEL)
