medal_type,medal_code,name,gender,discipline,event,code,country_code
Silver Medal,2,SUN Yingsha,F,Table Tennis,Women's Singles,1902313,CHN
Bronze Medal,3,Hina HAYATA,F,Table Tennis,Women's Singles,1931100,JPN
Gold Medal,1,EBDEN/PEERS,M,Tennis,Men's Doubles,TENMDOUBLES-AUS02,AUS
Silver Medal,2,KRAJICEK/RAM,M,Tennis,Men's Doubles,TENMDOUBLES-USA02,USA
Bronze Medal,3,FRITZ/PAUL,M,Tennis,Men's Doubles,TENMDOUBLES-USA01,USA
Bronze Medal,3,Lorenzo MUSETTI,M,Tennis,Men's Singles,1562400,ITA
Gold Medal,1,ZHENG Qinwen,F,Tennis,Women's Singles,1927709,CHN
Silver Medal,2,Donna VEKIC,F,Tennis,Women's Singles,1554972,CRO
Gold Medal,1,KIM Woojin,M,Archery,Men's Individual,1902135,KOR
Silver Medal,2,Brady ELLISON,M,Archery,Men's Individual,1955595,USA
Bronze Medal,3,LEE Wooseok,M,Archery,Men's Individual,1902144,KOR
Gold Medal,1,LIU Yang,M,Artistic Gymnastics,Men's Rings,1918856,CHN
Silver Medal,2,ZOU Jingyuan,M,Artistic Gymnastics,Men's Rings,1918865,CHN
Bronze Medal,3,Eleftherios PETROUNIAS,M,Artistic Gymnastics,Men's Rings,1961314,GRE
Gold Medal,1,Carlos Edriel YULO,M,Artistic Gymnastics,Men's Vault,1975874,PHI
Silver Medal,2,Artur DAVTYAN,M,Artistic Gymnastics,Men's Vault,1915828,ARM
Bronze Medal,3,Harry HEPWORTH,M,Artistic Gymnastics,Men's Vault,1904740,GBR
Gold Medal,1,Kaylia NEMOUR,F,Artistic Gymnastics,Women's Uneven Bars,1545688,ALG
Silver Medal,2,QIU Qiyuan,F,Artistic Gymnastics,Women's Uneven Bars,1918872,CHN
Bronze Medal,3,Sunisa LEE,F,Artistic Gymnastics,Women's Uneven Bars,1959866,USA
Gold Medal,1,Noah LYLES,M,Athletics,Men's 100m,1960173,USA
Silver Medal,2,Kishane THOMPSON,M,Athletics,Men's 100m,1980161,JAM
Bronze Medal,3,Fred KERLEY,M,Athletics,Men's 100m,1960958,USA
Gold Medal,1,Ethan KATZBERG,M,Athletics,Men's Hammer Throw,1974151,CAN
Silver Medal,2,Bence HALASZ,M,Athletics,Men's Hammer Throw,1916814,HUN
Bronze Medal,3,Mykhaylo KOKHAN,M,Athletics,Men's Hammer Throw,1571563,UKR
Gold Medal,1,Yaroslava MAHUCHIKH,F,Athletics,Women's High Jump,1571559,UKR
Silver Medal,2,Nicola OLYSLAGERS,F,Athletics,Women's High Jump,1939838,AUS
Bronze Medal,3,Iryna GERASHCHENKO,F,Athletics,Women's High Jump,1571577,UKR
Bronze Medal,3,Eleanor PATTERSON,F,Athletics,Women's High Jump,1939763,AUS
Gold Medal,1,LEE/WANG,M,Badminton,Men's Doubles,BDMMDOUBLES-TPE01,TPE
Silver Medal,2,LIANG/WANG,M,Badminton,Men's Doubles,BDMMDOUBLES-CHN02,CHN
Bronze Medal,3,CHIA/SOH,M,Badminton,Men's Doubles,BDMMDOUBLES-MAS01,MAS
Bronze Medal,3,Gregoria Mariska TUNJUNG,F,Badminton,Women's Singles,1926315,INA
Bronze Medal,3,Yunior ALCANTARA REYES,M,Boxing,Men's 51kg,1908817,DOM
Bronze Medal,3,David de PINA,M,Boxing,Men's 51kg,1892464,CPV
Bronze Medal,3,Wyatt SANFORD,M,Boxing,Men's 63.5kg,1972293,CAN
Bronze Medal,3,Lasha GURULI,M,Boxing,Men's 63.5kg,1550184,GEO
Bronze Medal,3,Cristian Javier PINALES,M,Boxing,Men's 80kg,1943368,DOM
Bronze Medal,3,Arlen LOPEZ CARDONA,M,Boxing,Men's 80kg,1555548,CUB
Bronze Medal,3,Enmanuel REYES PLA,M,Boxing,Men's 92kg,1934790,ESP
Bronze Medal,3,Davlat BOLTAEV,M,Boxing,Men's 92kg,1909011,TJK
