medal_type,medal_code,name,gender,discipline,event,code,country_code
Bronze Medal,3,Augusto AKIO,M,Skateboarding,Men's Park,1955669,BRA
Gold Medal,1,Aleksandra MIROSLAW,F,Sport Climbing,Women's Speed,1563327,POL
Silver Medal,2,DENG Lijuan,F,Sport Climbing,Women's Speed,1913702,CHN
Bronze Medal,3,Aleksandra KALUCKA,F,Sport Climbing,Women's Speed,1563321,POL
Gold Medal,1,PARK Taejoon,M,Taekwondo,Men -58kg,1904040,KOR
Silver Medal,2,Gashim MAGOMEDOV,M,Taekwondo,Men -58kg,1946883,AZE
Bronze Medal,3,Cyrian RAVET,M,Taekwondo,Men -58kg,1893274,FRA
Bronze Medal,3,Mohamed Khalil JENDOUBI,M,Taekwondo,Men -58kg,1947736,TUN
Gold Medal,1,Panipak WONGPATTANAKIT,F,Taekwondo,Women -49kg,1902841,THA
Silver Medal,2,GUO Qing,F,Taekwondo,Women -49kg,1910372,CHN
Bronze Medal,3,Mobina NEMATZADEH,F,Taekwondo,Women -49kg,1536064,IRI
Bronze Medal,3,Lena STOJKOVIC,F,Taekwondo,Women -49kg,1569986,CRO
Gold Medal,1,LI Fabin,M,Weightlifting,Men's 61kg,1918372,CHN
Silver Medal,2,Theerapong SILACHAI,M,Weightlifting,Men's 61kg,1898059,THA
Bronze Medal,3,Hampton MORRIS,M,Weightlifting,Men's 61kg,1917153,USA
Gold Medal,1,HOU Zhihui,F,Weightlifting,Women's 49kg,1918377,CHN
Silver Medal,2,Mihaela Valentina CAMBEI,F,Weightlifting,Women's 49kg,1550148,ROU
Bronze Medal,3,Surodchana KHAMBAO,F,Weightlifting,Women's 49kg,1898024,THA
Gold Medal,1,KUSAKA Nao,M,Wrestling,Men's Greco-Roman 77kg,1939692,JPN
Silver Medal,2,Demeu ZHADRAYEV,M,Wrestling,Men's Greco-Roman 77kg,1958652,KAZ
Bronze Medal,3,Malkhas AMOYAN,M,Wrestling,Men's Greco-Roman 77kg,1532873,ARM
Bronze Medal,3,Akzhol MAKHMUDOV,M,Wrestling,Men's Greco-Roman 77kg,1566627,KGZ
Gold Medal,1,Mohammadhadi SARAVI,M,Wrestling,Men's Greco-Roman 97kg,1544897,IRI
Silver Medal,2,Artur ALEKSANYAN,M,Wrestling,Men's Greco-Roman 97kg,1532872,ARM
Bronze Medal,3,Gabriel Alejandro ROSILLO KINDELAN,M,Wrestling,Men's Greco-Roman 97kg,1571504,CUB
Bronze Medal,3,Uzur DZHUZUPBEKOV,M,Wrestling,Men's Greco-Roman 97kg,1566601,KGZ
Gold Medal,1,Sarah Ann HILDEBRANDT,F,Wrestling,Women's Freestyle 50kg,1955373,USA
Silver Medal,2,Yusneylis GUZMAN LOPEZ,F,Wrestling,Women's Freestyle 50kg,1571747,CUB
Bronze Medal,3,SUSAKI Yui,F,Wrestling,Women's Freestyle 50kg,1939712,JPN
Bronze Medal,3,FENG Ziqi,F,Wrestling,Women's Freestyle 50kg,1920000,CHN
Gold Medal,1,Grant HOLLOWAY,M,Athletics,Men's 110m Hurdles,1960961,USA
Silver Medal,2,Daniel ROBERTS,M,Athletics,Men's 110m Hurdles,1965223,USA
Bronze Medal,3,Rasheed BROADBELL,M,Athletics,Men's 110m Hurdles,1901251,JAM
Gold Medal,1,Letsile TEBOGO,M,Athletics,Men's 200m,1936983,BOT
Silver Medal,2,Kenneth BEDNAREK,M,Athletics,Men's 200m,1960659,USA
Bronze Medal,3,Noah LYLES,M,Athletics,Men's 200m,1960173,USA
Gold Medal,1,Arshad NADEEM,M,Athletics,Men's Javelin Throw,1878563,PAK
Silver Medal,2,Neeraj CHOPRA,M,Athletics,Men's Javelin Throw,1550250,IND
Bronze Medal,3,Anderson PETERS,M,Athletics,Men's Javelin Throw,1573418,GRN
Gold Medal,1,Sydney McLAUGHLIN-LEVRONE,F,Athletics,Women's 400m Hurdles,1965308,USA
Silver Medal,2,Anna COCKRELL,F,Athletics,Women's 400m Hurdles,1960581,USA
Bronze Medal,3,Femke BOL,F,Athletics,Women's 400m Hurdles,1972078,NED
Gold Medal,1,Tara DAVIS-WOODHALL,F,Athletics,Women's Long Jump,1960711,USA
Silver Medal,2,Malaika MIHAMBO,F,Athletics,Women's Long Jump,1920175,GER
Bronze Medal,3,Jasmine MOORE,F,Athletics,Women's Long Jump,1965250,USA
Gold Medal,1,Hasanboy DUSMATOV,M,Boxing,Men's 51kg,1556045,UZB
Silver Medal,2,Billal BENNAMA,M,Boxing,Men's 51kg,1879110,FRA
Bronze Medal,3,Charlie SENIOR,M,Boxing,Men's 57kg,1940136,AUS
Bronze Medal,3,Javier IBANEZ DIAZ,M,Boxing,Men's 57kg,1555185,BUL
Gold Medal,1,CHANG Yuan,F,Boxing,Women's 54kg,1926832,CHN
Silver Medal,2,Hatice AKBAS,F,Boxing,Women's 54kg,1568186,TUR
Bronze Medal,3,Caitlin PARKER,F,Boxing,Women's 75kg,1940134,AUS
Bronze Medal,3,Cindy Winner DJANKEU NGAMBA,F,Boxing,Women's 75kg,1894537,EOR
Gold Medal,1,LIU/JI,M,Canoe Sprint,Men's Canoe Double 500m,CSPMC2-500M-CHN01,CHN
Silver Medal,2,CASADEI/TACCHINI,M,Canoe Sprint,Men's Canoe Double 500m,CSPMC2-500M-ITA01,ITA
Bronze Medal,3,MORENO/DOMINGUEZ,M,Canoe Sprint,Men's Canoe Double 500m,CSPMC2-500M-ESP01,ESP
Gold Medal,1,Germany,M,Canoe Sprint,Men's Kayak Four 500m,CSPMK4-500M-GER01,GER
Silver Medal,2,Australia,M,Canoe Sprint,Men's Kayak Four 500m,CSPMK4-500M-AUS01,AUS
Bronze Medal,3,Spain,M,Canoe Sprint,Men's Kayak Four 500m,CSPMK4-500M-ESP01,ESP
Gold Medal,1,New Zealand,F,Canoe Sprint,Women's Kayak Four 500m,CSPWK4-500M-NZL01,NZL
Silver Medal,2,Germany,F,Canoe Sprint,Women's Kayak Four 500m,CSPWK4-500M-GER01,GER
Bronze Medal,3,Hungary,F,Canoe Sprint,Women's Kayak Four 500m,CSPWK4-500M-HUN01,HUN
Gold Medal,1,Benjamin THOMAS,M,Cycling Track,Men's Omnium,1895717,FRA
Silver Medal,2,Iuri LEITAO,M,Cycling Track,Men's Omnium,1933816,POR
Bronze Medal,3,Fabio van den BOSSCHE,M,Cycling Track,Men's Omnium,1915370,BEL
Gold Medal,1,Ellesse ANDREWS,F,Cycling Track,Women's Keirin,1945040,NZL
Silver Medal,2,Hetty van de WOUW,F,Cycling Track,Women's Keirin,1969180,NED
Bronze Medal,3,Emma FINUCANE,F,Cycling Track,Women's Keirin,1912522,GBR
Gold Medal,1,XIE Siyi,M,Diving,Men's 3m Springboard,1901550,CHN
Silver Medal,2,WANG Zongyuan,M,Diving,Men's 3m Springboard,1901549,CHN
Bronze Medal,3,Osmar OLVERA IBARRA,M,Diving,Men's 3m Springboard,1535349,MEX
Bronze Medal,3,Morocco,M,Football,Men,FBLMTEAM11--MAR01,MAR
Gold Medal,1,Netherlands,M,Hockey,Men,HOCMTEAM11--NED01,NED
Silver Medal,2,Germany,M,Hockey,Men,HOCMTEAM11--GER01,GER
Bronze Medal,3,India,M,Hockey,Men,HOCMTEAM11--IND01,IND
Gold Medal,1,Sharon van ROUWENDAAL,F,Marathon Swimming,Women's 10km,1972515,NED
Silver Medal,2,Moesha JOHNSON,F,Marathon Swimming,Women's 10km,1945588,AUS
Bronze Medal,3,Ginevra TADDEUCCI,F,Marathon Swimming,Women's 10km,1925804,ITA
Gold Medal,1,VADLAU/MAEHR,X,Sailing,Mixed Dinghy,SALX470-----AUT01,AUT
Silver Medal,2,OKADA/YOSHIOKA,X,Sailing,Mixed Dinghy,SALX470-----JPN01,JPN
Bronze Medal,3,DAHLBERG/KARLSSON,X,Sailing,Mixed Dinghy,SALX470-----SWE01,SWE
Gold Medal,1,TITA/BANTI,X,Sailing,Mixed Multihull,SALXNACRA17-ITA01,ITA
Silver Medal,2,MAJDALANI/BOSCO,X,Sailing,Mixed Multihull,SALXNACRA17-ARG01,ARG
Bronze Medal,3,WILKINSON/DAWSON,X,Sailing,Mixed Multihull,SALXNACRA17-NZL01,NZL
Gold Medal,1,Eleanor ALDRIDGE,F,Sailing,Women's Kite,1899728,GBR
Silver Medal,2,Lauriane NOLOT,F,Sailing,Women's Kite,1559512,FRA
Bronze Medal,3,Annelous LAMMERTS,F,Sailing,Women's Kite,1970517,NED
Gold Medal,1,Veddriq LEONARDO,M,Sport Climbing,Men's Speed,1940329,INA
Silver Medal,2,WU Peng,M,Sport Climbing,Men's Speed,1913699,CHN
Bronze Medal,3,Sam WATSON,M,Sport Climbing,Men's Speed,1950309,USA
Gold Medal,1,Ulugbek RASHITOV,M,Taekwondo,Men -68kg,1887714,UZB
Silver Medal,2,Zaid KAREEM,M,Taekwondo,Men -68kg,1537401,JOR
Bronze Medal,3,LIANG Yushuai,M,Taekwondo,Men -68kg,1910367,CHN
Bronze Medal,3,Edival PONTES,M,Taekwondo,Men -68kg,1955815,BRA
Gold Medal,1,KIM Yujin,F,Taekwondo,Women -57kg,1904038,KOR
Silver Medal,2,Nahid KIYANICHANDEH,F,Taekwondo,Women -57kg,1536067,IRI
Bronze Medal,3,Skylar PARK,F,Taekwondo,Women -57kg,1966505,CAN
Bronze Medal,3,Alizadeh KIMIA,F,Taekwondo,Women -57kg,2493835,BUL
Gold Medal,1,Rizki JUNIANSYAH,M,Weightlifting,Men's 73kg,1941786,INA
Silver Medal,2,Weeraphon WICHUMA,M,Weightlifting,Men's 73kg,1898067,THA
Bronze Medal,3,Bozhidar Dimitrov ANDREEV,M,Weightlifting,Men's 73kg,1902787,BUL
Gold Medal,1,LUO Shifang,F,Weightlifting,Women's 59kg,1918379,CHN
Silver Medal,2,Maude CHARRON,F,Weightlifting,Women's 59kg,1965815,CAN
Bronze Medal,3,KUO Hsing-Chun,F,Weightlifting,Women's 59kg,1569563,TPE
Gold Medal,1,Saeid ESMAEILI LEIVESI,M,Wrestling,Men's Greco-Roman 67kg,1544928,IRI
Silver Medal,2,Parviz NASIBOV,M,Wrestling,Men's Greco-Roman 67kg,1550119,UKR
Bronze Medal,3,Hasrat JAFAROV,M,Wrestling,Men's Greco-Roman 67kg,1981760,AZE
Bronze Medal,3,Luis Alberto ORTA SANCHEZ,M,Wrestling,Men's Greco-Roman 67kg,1571498,CUB
Gold Medal,1,Semen Sergeevich NOVIKOV,M,Wrestling,Men's Greco-Roman 87kg,1559471,BUL
Silver Medal,2,Alireza MOHMADIPIANI,M,Wrestling,Men's Greco-Roman 87kg,1544880,IRI
Bronze Medal,3,Zhan BELENIUK,M,Wrestling,Men's Greco-Roman 87kg,1550116,UKR
Bronze Medal,3,Turpal Ali BISULTANOV,M,Wrestling,Men's Greco-Roman 87kg,1879518,DEN
Gold Medal,1,FUJINAMI Akari,F,Wrestling,Women's Freestyle 53kg,1939711,JPN
Silver Medal,2,Lucia Yamileth YEPEZ GUZMAN,F,Wrestling,Women's Freestyle 53kg,1960228,ECU
Bronze Medal,3,CHOE Hyo Gyong,F,Wrestling,Women's Freestyle 53kg,1980149,PRK
Bronze Medal,3,PANG Qianyu,F,Wrestling,Women's Freestyle 53kg,1920006,CHN
Gold Medal,1,Canada,M,Athletics,Men's 4 x 100m Relay,ATHM4X100M--CAN01,CAN
Silver Medal,2,South Africa,M,Athletics,Men's 4 x 100m Relay,ATHM4X100M--RSA01,RSA
Bronze Medal,3,Great Britain,M,Athletics,Men's 4 x 100m Relay,ATHM4X100M--GBR01,GBR
Gold Medal,1,Rai BENJAMIN,M,Athletics,Men's 400m Hurdles,1960684,USA
Silver Medal,2,Karsten WARHOLM,M,Athletics,Men's 400m Hurdles,1894095,NOR
Bronze Medal,3,Alison dos SANTOS,M,Athletics,Men's 400m Hurdles,1951913,BRA
Gold Medal,1,Jordan Alejandro DIAZ FORTUN,M,Athletics,Men's Triple Jump,1904099,ESP
Silver Medal,2,Pedro PICHARDO,M,Athletics,Men's Triple Jump,1938792,POR
Bronze Medal,3,Andy DIAZ HERNANDEZ,M,Athletics,Men's Triple Jump,1552375,ITA
Gold Medal,1,Beatrice CHEBET,F,Athletics,"Women's 10,000m",1910560,KEN
Silver Medal,2,Nadia BATTOCLETTI,F,Athletics,"Women's 10,000m",1552305,ITA
Bronze Medal,3,Sifan HASSAN,F,Athletics,"Women's 10,000m",1972105,NED
Gold Medal,1,United States,F,Athletics,Women's 4 x 100m Relay,ATHW4X100M--USA01,USA
Silver Medal,2,Great Britain,F,Athletics,Women's 4 x 100m Relay,ATHW4X100M--GBR01,GBR
Bronze Medal,3,Germany,F,Athletics,Women's 4 x 100m Relay,ATHW4X100M--GER01,GER
Gold Medal,1,Marileidy PAULINO,F,Athletics,Women's 400m,1899666,DOM
Silver Medal,2,Salwa Eid NASER,F,Athletics,Women's 400m,1915338,BRN
Bronze Medal,3,Natalia KACZMAREK,F,Athletics,Women's 400m,1573098,POL
Gold Medal,1,Yemisi OGUNLEYE,F,Athletics,Women's Shot Put,1920183,GER
Silver Medal,2,Maddison-Lee WESCHE,F,Athletics,Women's Shot Put,1926695,NZL
Bronze Medal,3,SONG Jiayuan,F,Athletics,Women's Shot Put,1919065,CHN
Gold Medal,1,ANA PATRICIA/DUDA,F,Beach Volleyball,Women,VBVWTEAM2---BRA01,BRA
Silver Medal,2,MELISSA/BRANDIE,F,Beach Volleyball,Women,VBVWTEAM2---CAN01,CAN
Bronze Medal,3,HUBERLI/BRUNNER,F,Beach Volleyball,Women,VBVWTEAM2---SUI01,SUI
Gold Medal,1,Asadkhuja MUYDINKHUJAEV,M,Boxing,Men's 71kg,1556797,UZB
Silver Medal,2,Marco Alonso VERDE ALVAREZ,M,Boxing,Men's 71kg,1535187,MEX
Gold Medal,1,Lazizbek MULLOJONOV,M,Boxing,Men's 92kg,1556860,UZB
Silver Medal,2,Loren Berto ALFONSO DOMINGUEZ,M,Boxing,Men's 92kg,1972343,AZE
Gold Medal,1,WU Yu,F,Boxing,Women's 50kg,1926833,CHN
Silver Medal,2,Buse Naz CAKIROGLU,F,Boxing,Women's 50kg,1568182,TUR
Gold Medal,1,Imane KHELIF,F,Boxing,Women's 66kg,1540353,ALG
Silver Medal,2,YANG Liu,F,Boxing,Women's 66kg,1926827,CHN
Gold Medal,1,AMI,F,Breaking,B-Girls,1953038,JPN
Silver Medal,2,NICKA,F,Breaking,B-Girls,1924559,LTU
Bronze Medal,3,671,F,Breaking,B-Girls,1909907,CHN
Gold Medal,1,Martin FUKSA,M,Canoe Sprint,Men's Canoe Single 1000m,1878716,CZE
Silver Medal,2,Isaquias QUEIROZ,M,Canoe Sprint,Men's Canoe Single 1000m,1952595,BRA
Bronze Medal,3,Serghei TARNOVSCHI,M,Canoe Sprint,Men's Canoe Single 1000m,1550295,MDA
Gold Medal,1,SCHOPF/LEMKE,M,Canoe Sprint,Men's Kayak Double 500m,CSPMK2-500M-GER01,GER
Silver Medal,2,NADAS/TOTKA,M,Canoe Sprint,Men's Kayak Double 500m,CSPMK2-500M-HUN01,HUN
Bronze Medal,3,van der WE/GREEN,M,Canoe Sprint,Men's Kayak Double 500m,CSPMK2-500M-AUS01,AUS
Gold Medal,1,XU/SUN,F,Canoe Sprint,Women's Canoe Double 500m,CSPWC2-500M-CHN01,CHN
Silver Medal,2,LUZAN/RYBACHOK,F,Canoe Sprint,Women's Canoe Double 500m,CSPWC2-500M-UKR01,UKR
Bronze Medal,3,MACKENZIE/VINCENT,F,Canoe Sprint,Women's Canoe Double 500m,CSPWC2-500M-CAN01,CAN
Gold Medal,1,CARRINGTON/HOSKIN,F,Canoe Sprint,Women's Kayak Double 500m,CSPWK2-500M-NZL01,NZL
Silver Medal,2,CSIPES/GAZSO,F,Canoe Sprint,Women's Kayak Double 500m,CSPWK2-500M-HUN01,HUN
Bronze Medal,3,PASZEK/HAKE,F,Canoe Sprint,Women's Kayak Double 500m,CSPWK2-500M-GER01,GER
Bronze Medal,3,PUPP/FOJT,F,Canoe Sprint,Women's Kayak Double 500m,CSPWK2-500M-HUN02,HUN
Gold Medal,1,Harrie LAVREYSEN,M,Cycling Track,Men's Sprint,1969182,NED
Silver Medal,2,Matthew RICHARDSON,M,Cycling Track,Men's Sprint,1940263,AUS
Bronze Medal,3,Jack CARLIN,M,Cycling Track,Men's Sprint,1912515,GBR
Gold Medal,1,Italy,F,Cycling Track,Women's Madison,CTRWMADISON-ITA01,ITA
Silver Medal,2,Great Britain,F,Cycling Track,Women's Madison,CTRWMADISON-GBR01,GBR
Bronze Medal,3,Netherlands,F,Cycling Track,Women's Madison,CTRWMADISON-NED01,NED
Gold Medal,1,CHEN Yiwen,F,Diving,Women's 3m Springboard,1901538,CHN
Silver Medal,2,Maddison KEENEY,F,Diving,Women's 3m Springboard,1940414,AUS
Bronze Medal,3,CHANG Yani,F,Diving,Women's 3m Springboard,1901539,CHN
Gold Medal,1,Spain,M,Football,Men,FBLMTEAM11--ESP01,ESP
Silver Medal,2,France,M,Football,Men,FBLMTEAM11--FRA01,FRA
Bronze Medal,3,Germany,F,Football,Women,FBLWTEAM11--GER01,GER
Gold Medal,1,Netherlands,F,Hockey,Women,HOCWTEAM11--NED01,NED
Silver Medal,2,China,F,Hockey,Women,HOCWTEAM11--CHN01,CHN
Bronze Medal,3,Argentina,F,Hockey,Women,HOCWTEAM11--ARG01,ARG
Gold Medal,1,Kristof RASOVSZKY,M,Marathon Swimming,Men's 10km,1909030,HUN
Silver Medal,2,Oliver KLEMET,M,Marathon Swimming,Men's 10km,1907234,GER
Bronze Medal,3,David BETLEHEM,M,Marathon Swimming,Men's 10km,1902450,HUN
Gold Medal,1,Valentin BONTUS,M,Sailing,Men's Kite,1566437,AUT
Silver Medal,2,Toni VODISEK,M,Sailing,Men's Kite,1981549,SLO
Bronze Medal,3,Maximilian MAEDER,M,Sailing,Men's Kite,1535852,SGP
Gold Medal,1,Toby ROBERTS,M,Sport Climbing,Men's Boulder & Lead,1544218,GBR
Silver Medal,2,ANRAKU Sorato,M,Sport Climbing,Men's Boulder & Lead,1892022,JPN
Bronze Medal,3,Jakob SCHUBERT,M,Sport Climbing,Men's Boulder & Lead,1560677,AUT
Gold Medal,1,China,M,Table Tennis,Men's Team,TTEMTEAM----CHN01,CHN
Silver Medal,2,Sweden,M,Table Tennis,Men's Team,TTEMTEAM----SWE01,SWE
Bronze Medal,3,France,M,Table Tennis,Men's Team,TTEMTEAM----FRA01,FRA
Gold Medal,1,Firas KATOUSSI,M,Taekwondo,Men -80kg,1947737,TUN
Silver Medal,2,Mehran BARKHORDARI,M,Taekwondo,Men -80kg,1536058,IRI
Bronze Medal,3,Simone ALESSIO,M,Taekwondo,Men -80kg,1929685,ITA
Bronze Medal,3,Edi HRNIC,M,Taekwondo,Men -80kg,1914832,DEN
Gold Medal,1,Viviana MARTON,F,Taekwondo,Women -67kg,1572318,HUN
Silver Medal,2,Aleksandra PERISIC,F,Taekwondo,Women -67kg,1956372,SRB
Bronze Medal,3,Kristina TEACHOUT,F,Taekwondo,Women -67kg,1930773,USA
Bronze Medal,3,Sarah CHAARI,F,Taekwondo,Women -67kg,1903284,BEL
Bronze Medal,3,United States,M,Volleyball,Men,VVOMTEAM6---USA01,USA
Gold Medal,1,Karlos May NASAR,M,Weightlifting,Men's 89kg,1903011,BUL
Silver Medal,2,Yeison LOPEZ,M,Weightlifting,Men's 89kg,1543506,COL
Bronze Medal,3,Antonino PIZZOLATO,M,Weightlifting,Men's 89kg,1568724,ITA
Gold Medal,1,Olivia REEVES,F,Weightlifting,Women's 71kg,1917154,USA
Silver Medal,2,Mari Leivis SANCHEZ,F,Weightlifting,Women's 71kg,1543509,COL
Bronze Medal,3,Angie Paola PALACIOS DAJOMES,F,Weightlifting,Women's 71kg,1940300,ECU
Gold Medal,1,HIGUCHI Rei,M,Wrestling,Men's Freestyle 57kg,1939714,JPN
Silver Medal,2,Spencer Richard LEE,M,Wrestling,Men's Freestyle 57kg,1955415,USA
Bronze Medal,3,Aman AMAN,M,Wrestling,Men's Freestyle 57kg,1931496,IND
Bronze Medal,3,Gulomjon ABDULLAEV,M,Wrestling,Men's Freestyle 57kg,1562157,UZB
Gold Medal,1,Magomed Eldarovitch RAMAZANOV,M,Wrestling,Men's Freestyle 86kg,1556873,BUL
Silver Medal,2,Hassan YAZDANICHARATI,M,Wrestling,Men's Freestyle 86kg,1544803,IRI
Bronze Medal,3,Aaron Marquel BROOKS,M,Wrestling,Men's Freestyle 86kg,1955300,USA
Bronze Medal,3,Dauren KURUGLIEV,M,Wrestling,Men's Freestyle 86kg,1963800,GRE
Gold Medal,1,SAKURAI Tsugumi,F,Wrestling,Women's Freestyle 57kg,1939710,JPN
Silver Medal,2,Anastasia NICHITA,F,Wrestling,Women's Freestyle 57kg,1572203,MDA
Bronze Medal,3,Helen Louise MAROULIS,F,Wrestling,Women's Freestyle 57kg,1955426,USA
Bronze Medal,3,HONG Kexin,F,Wrestling,Women's Freestyle 57kg,1920010,CHN
Gold Medal,1,China,F,Artistic Swimming,Duet,SWAWTEAM2---CHN01,CHN
Silver Medal,2,Great Britain,F,Artistic Swimming,Duet,SWAWTEAM2---GBR01,GBR
Bronze Medal,3,Netherlands,F,Artistic Swimming,Duet,SWAWTEAM2---NED01,NED
Gold Medal,1,United States,M,Athletics,Men's 4 x 400m Relay,ATHM4X400M--USA01,USA
Silver Medal,2,Botswana,M,Athletics,Men's 4 x 400m Relay,ATHM4X400M--BOT01,BOT
Bronze Medal,3,Great Britain,M,Athletics,Men's 4 x 400m Relay,ATHM4X400M--GBR01,GBR
Gold Medal,1,Jakob INGEBRIGTSEN,M,Athletics,Men's 5000m,1898250,NOR
Silver Medal,2,Ronald KWEMOI,M,Athletics,Men's 5000m,1963077,KEN
Bronze Medal,3,Grant FISHER,M,Athletics,Men's 5000m,1960959,USA
Gold Medal,1,Emmanuel WANYONYI,M,Athletics,Men's 800m,1910412,KEN
Silver Medal,2,Marco AROP,M,Athletics,Men's 800m,1974048,CAN
Bronze Medal,3,Djamel SEDJATI,M,Athletics,Men's 800m,1963520,ALG
Gold Medal,1,Hamish KERR,M,Athletics,Men's High Jump,1926713,NZL
Silver Medal,2,Shelby McEWEN,M,Athletics,Men's High Jump,1965306,USA
Bronze Medal,3,Mutaz Essa BARSHIM,M,Athletics,Men's High Jump,1566681,QAT
Gold Medal,1,Tamirat TOLA,M,Athletics,Men's Marathon,1901284,ETH
Silver Medal,2,Bashir ABDI,M,Athletics,Men's Marathon,1942753,BEL
Bronze Medal,3,Benson KIPRUTO,M,Athletics,Men's Marathon,1910555,KEN
Gold Medal,1,Masai RUSSELL,F,Athletics,Women's 100m Hurdles,1960169,USA
Silver Medal,2,Cyrena SAMBA-MAYELA,F,Athletics,Women's 100m Hurdles,1911932,FRA
Bronze Medal,3,Jasmine CAMACHO-QUINN,F,Athletics,Women's 100m Hurdles,1537183,PUR
Gold Medal,1,Faith KIPYEGON,F,Athletics,Women's 1500m,1910451,KEN
Silver Medal,2,Jessica HULL,F,Athletics,Women's 1500m,1939795,AUS
Bronze Medal,3,Georgia BELL,F,Athletics,Women's 1500m,1956840,GBR
Gold Medal,1,United States,F,Athletics,Women's 4 x 400m Relay,ATHW4X400M--USA01,USA
Silver Medal,2,Netherlands,F,Athletics,Women's 4 x 400m Relay,ATHW4X400M--NED01,NED
Bronze Medal,3,Great Britain,F,Athletics,Women's 4 x 400m Relay,ATHW4X400M--GBR01,GBR
Gold Medal,1,KITAGUCHI Haruka,F,Athletics,Women's Javelin Throw,1919914,JPN
Silver Medal,2,Jo-Ane van DYK,F,Athletics,Women's Javelin Throw,1981085,RSA
Bronze Medal,3,Nikola OGRODNIKOVA,F,Athletics,Women's Javelin Throw,1892137,CZE
Gold Medal,1,United States,M,Basketball,Men,BKBMTEAM5---USA01,USA
Silver Medal,2,France,M,Basketball,Men,BKBMTEAM5---FRA01,FRA
Bronze Medal,3,Serbia,M,Basketball,Men,BKBMTEAM5---SRB01,SRB
Gold Medal,1,AHMAN/HELLVIG,M,Beach Volleyball,Men,VBVMTEAM2---SWE01,SWE
Silver Medal,2,EHLERS/WICKLER,M,Beach Volleyball,Men,VBVMTEAM2---GER01,GER
Bronze Medal,3,MOL/SORUM,M,Beach Volleyball,Men,VBVMTEAM2---NOR01,NOR
Gold Medal,1,Bakhodir JALOLOV,M,Boxing,Men's +92kg,1556869,UZB
Silver Medal,2,Ayoub GHADFA DRISSI EL AISSAOUI,M,Boxing,Men's +92kg,1934775,ESP
Gold Medal,1,Abdumalik KHALOKOV,M,Boxing,Men's 57kg,1556049,UZB
Silver Medal,2,Munarbek SEIITBEK UULU,M,Boxing,Men's 57kg,1878687,KGZ
Gold Medal,1,LIN Yu Ting,F,Boxing,Women's 57kg,1887963,TPE
Silver Medal,2,Julia SZEREMETA,F,Boxing,Women's 57kg,1568655,POL
Gold Medal,1,LI Qian,F,Boxing,Women's 75kg,1926826,CHN
Silver Medal,2,Atheyna Bibeichi BYLON,F,Boxing,Women's 75kg,1965679,PAN
Gold Medal,1,PHIL WIZARD,M,Breaking,B-Boys,1958888,CAN
Silver Medal,2,DANY DANN,M,Breaking,B-Boys,1880191,FRA
Bronze Medal,3,VICTOR,M,Breaking,B-Boys,1955590,USA
Gold Medal,1,Josef DOSTAL,M,Canoe Sprint,Men's Kayak Single 1000m,1878715,CZE
Silver Medal,2,Adam VARGA,M,Canoe Sprint,Men's Kayak Single 1000m,1570863,HUN
Bronze Medal,3,Balint KOPASZ,M,Canoe Sprint,Men's Kayak Single 1000m,1569972,HUN
Gold Medal,1,Katie VINCENT,F,Canoe Sprint,Women's Canoe Single 200m,1964547,CAN
Silver Medal,2,Nevin HARRISON,F,Canoe Sprint,Women's Canoe Single 200m,1955126,USA
Bronze Medal,3,Yarisleidis CIRILO DUBOYS,F,Canoe Sprint,Women's Canoe Single 200m,1564506,CUB
Gold Medal,1,Lisa CARRINGTON,F,Canoe Sprint,Women's Kayak Single 500m,1945383,NZL
Silver Medal,2,Tamara CSIPES,F,Canoe Sprint,Women's Kayak Single 500m,1568350,HUN
Bronze Medal,3,Emma Aastrand JORGENSEN,F,Canoe Sprint,Women's Kayak Single 500m,1892423,DEN
Gold Medal,1,Portugal,M,Cycling Track,Men's Madison,CTRMMADISON-POR01,POR
Silver Medal,2,Italy,M,Cycling Track,Men's Madison,CTRMMADISON-ITA01,ITA
Bronze Medal,3,Denmark,M,Cycling Track,Men's Madison,CTRMMADISON-DEN01,DEN
Gold Medal,1,CAO Yuan,M,Diving,Men's 10m Platform,1901556,CHN
Silver Medal,2,TAMAI Rikuto,M,Diving,Men's 10m Platform,1891685,JPN
Bronze Medal,3,Noah WILLIAMS,M,Diving,Men's 10m Platform,1900857,GBR
Gold Medal,1,United States,F,Football,Women,FBLWTEAM11--USA01,USA
Silver Medal,2,Brazil,F,Football,Women,FBLWTEAM11--BRA01,BRA
Gold Medal,1,Lydia KO,F,Golf,Women's Individual Stroke Play,1939553,NZL
Silver Medal,2,Esther HENSELEIT,F,Golf,Women's Individual Stroke Play,1892506,GER
Bronze Medal,3,LIN Xiyu Janet,F,Golf,Women's Individual Stroke Play,1913218,CHN
Gold Medal,1,Norway,F,Handball,Women,HBLWTEAM7---NOR01,NOR
Silver Medal,2,France,F,Handball,Women,HBLWTEAM7---FRA01,FRA
Bronze Medal,3,Denmark,F,Handball,Women,HBLWTEAM7---DEN01,DEN
Gold Medal,1,Ahmed ELGENDY,M,Modern Pentathlon,Men's Individual,1932649,EGY
Silver Medal,2,SATO Taishu,M,Modern Pentathlon,Men's Individual,1887939,JPN
Bronze Medal,3,Giorgio MALAN,M,Modern Pentathlon,Men's Individual,1553031,ITA
